;data;user id3;tweets
45;2020-11-05 20:25:24+00:00;2,40E+32;RT @viniciusduarte: Russomanno não tá derretendo
46;2020-11-05 20:25:21+00:00;2,40E+32;@luanborges do covas kkk mas aqui tamo com o boulos no radar
47;2020-11-05 20:25:20+00:00;2,40E+32;RT @BelemJameson: #Virada40SP Com Márcio França  (@marciofrancasp) e Antônio Neto (@antonionetopdt) 🚀 https://t.co/RqFgW3b1NO
48;2020-11-05 20:25:20+00:00;2,40E+32;RT @ManuelaDavila: Vitória da liberdade de expressão! Por 6x1
49;2020-11-05 20:25:18+00:00;2,40E+32;Boulos voltando os ataques ao França em 3
50;2020-11-05 20:25:17+00:00;2,40E+31;@g1 bora boulos
51;2020-11-05 20:25:15+00:00;2,40E+32;@Bernadinoju Acho que o eleitorado do Russomano tende a simpatizar mais com Bruno Covas e/ou França. Pro Boulos ir… https://t.co/vaeVNrYuzn
52;2020-11-05 20:25:15+00:00;2,40E+32;paulistada faz favor vota boulos https://t.co/WNKhY7Cv0C
53;2020-11-05 20:25:14+00:00;2,40E+32;RT @RenatoBacon: Amigos de São Paulo que vão votar no Tatto:  Votem no Boulos.  Faça esse favor à sua cidade.
54;2020-11-05 20:25:14+00:00;2,40E+32;O que eu vinha dizendo: Pelo público do Boulos (classe média/alta
55;2020-11-05 20:25:13+00:00;2,40E+32;"RT @UOL: Russomanno recua mais e empata em 2º com Boulos e França; Covas vai a 28% e se isola em 1º, diz Datafolha https://t.co/kGwMQeRZUe"
56;2020-11-05 20:25:12+00:00;2,40E+32;RT @GuilhermeBoulos: Acabo de ficar sabendo que o Russomanno não vai ao debate que está sendo organizado pela revista Veja nesta sexta
57;2020-11-05 20:25:11+00:00;2,40E+32;RT @GuilhermeBoulos: O gabinete do ódio não tem limites. #ViraSp50   https://t.co/6xrgvSFt0T
58;2020-11-05 20:25:08+00:00;2,40E+32;meu deus boulos vamo que vamo https://t.co/75ZX2dLIQJ
59;2020-11-05 20:25:06+00:00;2,40E+32;@JuarezRoth Creio que o boulos
60;2020-11-05 20:25:06+00:00;2,40E+32;RT @roxmo: Russomanno chama homenagem a dia da Consciência Negra em semáforos de 'vandalismo'  https://t.co/FCGeQZX203 // O que se tenta im…
61;2020-11-05 20:25:04+00:00;2,40E+32;@Guili2m Covas leva. Russo fica atrás do Boulos. Jilmar atrás de todos.
62;2020-11-05 20:25:04+00:00;2,40E+32;https://t.co/javNIPepwW Datafolha 05/11/2020  Covas: 28% Russomanno: 16% Boulos: 14% França: 13%  Se o Russomanno p… https://t.co/9uKXz5MJCL
63;2020-11-05 20:25:02+00:00;2,40E+32;@GuilhermeBoulos O Boulos vêm aí E o bicho vai pegar
64;2020-11-05 20:25:02+00:00;2,40E+32;vamos de boulos 50 gatinhas de sp https://t.co/mDorYV8zRz
65;2020-11-05 20:25:01+00:00;2,40E+32;Pelo visto
66;2020-11-05 20:25:00+00:00;2,40E+32;Vamo levar o boulos pro segundo turno porra https://t.co/IPhxQgsnIF
67;2020-11-05 20:25:00+00:00;2,40E+32;@g1 Gente larga tudo é vai com Boulos. E melhor para você
68;2020-11-05 20:25:00+00:00;2,40E+32;o que eu acho: russomano vai descer mais
69;2020-11-05 20:24:59+00:00;2,40E+32;Boulos ja ta botando de lado pra passar o russonaro https://t.co/dcdHFeSQ4x
70;2020-11-05 20:24:59+00:00;2,40E+32;@_ninosantos Trabalha com defesas em tweets que não fazem sentido kkkkkk Ele terminar na frente do Boulos vai adian… https://t.co/7A3oAzxTHh
71;2020-11-05 20:24:59+00:00;2,40E+32;@fsmcruz nada. boulos já tá em segundo
72;2020-11-05 20:24:56+00:00;2,40E+32;Parece que Boulos estacionou nos 14%. Deve ter perdido votos pra Tatto e compensado com novos eleitores. Se o segun… https://t.co/0yCDer87Rg
73;2020-11-05 20:24:56+00:00;2,40E+32;Pesquisa Datafolha mostrando que uma chapa Boulos/PT poderia ter 20% dos votos e estar perto do segundo turno.  E q… https://t.co/F9jIB0ZZh3
74;2020-11-05 20:24:56+00:00;2,40E+32;Russomanno com apenas 16% das intenções de votos! https://t.co/yZrminEScF
75;2020-11-05 20:24:55+00:00;2,40E+32;RT @ultimosegundo: Russomanno perde mais pontos e já empata com Boulos e França
76;2020-11-05 20:24:54+00:00;2,40E+32;O novo DataFolha mostra este cenário em São Paulo. O Russomano despencou de novo e o Boulos
77;2020-11-05 20:24:51+00:00;2,40E+32;"""Pesquisa Datafolha em São Paulo: Covas, 28%; Russomanno, 16%; Boulos, 14%; França, 13%""."
78;2020-11-05 20:24:49+00:00;2,40E+32;@g1saopaulo Como alguém cogita votar em Bruno Covas e Boulos? Paulistano merece essa porcaria de cidade.
79;2020-11-05 20:24:47+00:00;2,40E+32;Que a campanha do @GuilhermeBoulos perceba que o Russomano já foi pras calendas. Agora a briga é com o direitista… https://t.co/PASKhleQSr
80;2020-11-05 20:24:44+00:00;2,40E+32;O BOULOS TA VIRANDO EM SP
81;2020-11-05 20:24:41+00:00;2,40E+32;o celso russomano tá em segundo e o boulos em terceiro pelo amor de deus https://t.co/2IbRiFv0Fq
82;2020-11-05 20:24:39+00:00;2,40E+32;@fsmcruz Engraçado que se a gente acompanhar a campanha de boulos sem olhar pesquisas
83;2020-11-05 20:24:38+00:00;2,40E+32;@JornalOGlobo Não tem a atitude a coragem de machar a pé ir para as ruas entrar em vielas está frente a frente com… https://t.co/Dmluo1RYBE
84;2020-11-05 20:24:38+00:00;2,40E+31;@edsonveloso @arquivopolitico Boulos também corre esse risco por isso
85;2020-11-05 20:24:37+00:00;2,40E+32;Porra de Marcio França mano puta que pariu https://t.co/O1bz6w1PJg
86;2020-11-05 20:24:36+00:00;2,40E+32;RT @joaovitorjv: Boulos estagnou no Datafolha
87;2020-11-05 20:24:33+00:00;2,40E+32;@mouraul Vamos de Márcio França
88;2020-11-05 20:24:33+00:00;2,40E+32;@fsmcruz Franciel
